gene_id	switch_sig	padj_deseq2	padj_edger	gene_de_kw	gene_de_deseq2	gene_de_edger	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000278133.1	True	2.04837453097058e-10	4.02382339932174e-07	True	True	True	visible	visible	visible
ENSG00000274265.4	True	3.8992907781436e-07	3.67647785966862e-05	True	True	True	visible	visible	visible
ENSG00000273674.4	False	2.2369947681109802e-45	1.0571833765147801e-21	True	True	True	gene_only	gene_only	gene_only
ENSG00000278464.1	False	2.68634443703621e-39	1.16495354237528e-32	True	True	True	gene_only	gene_only	gene_only
ENSG00000276075.1	False	6.80669965842765e-34	7.00581775814353e-18	True	True	True	gene_only	gene_only	gene_only
ENSG00000276170.4	True	3.41671127840819e-31	5.3189564645455806e-20	True	True	True	visible	visible	visible
ENSG00000226067.6	False	5.64437930741009e-29	2.4135715747989702e-15	True	True	True	gene_only	gene_only	gene_only
ENSG00000278611.1	True	1.66577036660293e-33	3.4256910708718003e-18	True	True	True	visible	visible	visible
ENSG00000275830.1	False	3.7166414409940503e-20	3.0916144232778004e-16	False	True	True	none	gene_only	gene_only
ENSG00000278768.1	False	1.20654017332136e-15	6.09738108124793e-09	True	True	True	gene_only	gene_only	gene_only
ENSG00000203804.4	False	8.028854537903009e-11	3.30325689636652e-09	True	True	True	gene_only	gene_only	gene_only
ENSG00000277199.1	False	2.17377235508775e-33	7.97538126906659e-18	False	True	True	none	gene_only	gene_only
ENSG00000276649.1	False	4.9910919757929204e-24	9.95153766047065e-14	False	True	True	none	gene_only	gene_only
ENSG00000278390.4	False	0.0008569992929512	0.0027151466683256	False	True	True	none	gene_only	gene_only
ENSG00000278156.1	False	3.40033691603046e-62	9.461471711191619e-29	True	True	True	gene_only	gene_only	gene_only
ENSG00000278175.3	True	2.67342804562515e-13	9.590918966147341e-09	True	True	True	visible	visible	visible
ENSG00000274253.4	True	7.20603372827034e-66	7.7241091736463104e-31	True	True	True	visible	visible	visible
ENSG00000274333.4	False	8.62277204574052e-05	1.2516405064667e-05	False	True	True	none	gene_only	gene_only
ENSG00000275496.4	False	0.0018029759161884	0.0002858306430736	False	True	True	none	gene_only	gene_only
ENSG00000279082.3	False	1.5457377971001602e-52	3.96108987883877e-23	True	True	True	gene_only	gene_only	gene_only
ENSG00000278932.3	True	8.18564564314443e-15	3.34546785251866e-10	False	True	True	silent	visible	visible
ENSG00000280145.3	True	3.36500772277813e-06	7.52307710909691e-07	True	True	True	visible	visible	visible
ENSG00000280018.3	False	3.78438792449928e-12	2.72163826172021e-10	True	True	True	gene_only	gene_only	gene_only
ENSG00000280081.3	False	5.90445377613965e-08	1.28934605774709e-08	False	True	True	none	gene_only	gene_only
ENSG00000279762.3	False	2.35958204710553e-30	1.27826684186733e-16	True	True	True	gene_only	gene_only	gene_only
ENSG00000278903.3	False	6.32093451721376e-28	2.28396989747069e-22	False	True	True	none	gene_only	gene_only
ENSG00000279168.2	False	2.0803742843952901e-19	3.8577888577860096e-12	True	True	True	gene_only	gene_only	gene_only
ENSG00000279094.3	False	4.18442817684154e-07	5.16628640981017e-07	True	True	True	gene_only	gene_only	gene_only
ENSG00000279750.3	False	0.0034384281743128	5.62241523661028e-14	False	True	True	none	gene_only	gene_only
ENSG00000281649.1	False	1.61772386650191e-06	0.0001966326236131	True	True	True	gene_only	gene_only	gene_only
ENSG00000280734.2	False	4.5911429175181e-34	1.89008423785581e-18	True	True	True	gene_only	gene_only	gene_only
ENSG00000280739.2	False	0.217163808305755	0.195756059749877	True	False	False	gene_only	none	none
ENSG00000280721.1	False	3.7249352187016e-52	8.43266133613572e-33	True	True	True	gene_only	gene_only	gene_only
ENSG00000281657.2	False	0.039469401013949	0.0173085382911815	False	True	True	none	gene_only	gene_only
ENSG00000281162.2	False	1.35167534680126e-59	2.762264262445e-31	False	True	True	none	gene_only	gene_only
ENSG00000281357.2	False	0.0001337817487052	0.0001692398457242	False	True	True	none	gene_only	gene_only
ENSG00000280832.1	False	1.9654253408307e-42	4.35723702103418e-20	True	True	True	gene_only	gene_only	gene_only
ENSG00000280623.1	False	7.681483191442731e-17	6.48744791861003e-08	True	True	True	gene_only	gene_only	gene_only
ENSG00000280870.2	False	9.20759908129605e-15	4.16336503639386e-11	False	True	True	none	gene_only	gene_only
ENSG00000281392.1	True	4.2230249373045096e-36	3.62160581807422e-16	True	True	True	visible	visible	visible
ENSG00000281103.1	True	8.4374032792905e-40	6.14833417989844e-26	True	True	True	visible	visible	visible
ENSG00000282508.1	False	6.96143656477144e-06	0.0001118195190425	True	True	True	gene_only	gene_only	gene_only
ENSG00000282024.1	True	1.03937414085538e-16	2.0108835543315602e-14	True	True	True	visible	visible	visible
ENSG00000282851.1	False	3.2111136189587097e-22	1.2695974469564001e-15	True	True	True	gene_only	gene_only	gene_only
ENSG00000282917.1	False	8.49233667034449e-36	6.38743738985696e-22	False	True	True	none	gene_only	gene_only
ENSG00000283108.1	False	1.16101785258134e-08	3.16146276979214e-07	True	True	True	gene_only	gene_only	gene_only
ENSG00000282885.1	False	1.23978350494518e-13	3.16015612094407e-11	False	True	True	none	gene_only	gene_only
ENSG00000282943.1	False	1.13811672471692e-24	4.0204997980055003e-16	True	True	True	gene_only	gene_only	gene_only
ENSG00000228526.6	False	9.529037578994129e-36	3.31362514180048e-20	True	True	True	gene_only	gene_only	gene_only
ENSG00000283128.1	True	5.05475254263536e-120	2.5115061275403397e-30	True	True	True	visible	visible	visible
ENSG00000283674.1	False	4.02901201311229e-115	6.69108645599139e-29	True	True	True	gene_only	gene_only	gene_only
