gene_id	lnc_isi	gene_de	switch_sig	visibility	n_expr	small_perm
ENSG00000259363.5	0.3737564816912456	True	True	visible	23	False
ENSG00000259345.5	0.8622655183792534	True	True	visible	32	False
ENSG00000259319.1	0.002428855965782633	True	False	gene_only	41	False
ENSG00000225766.9	0.14528253402611685	True	False	gene_only	17	False
ENSG00000189419.6	0.2659250337476944	True	True	visible	42	False
ENSG00000259291.2	0.004478727324321759	True	False	gene_only	61	False
ENSG00000259251.2	0.01068114550822085	False	False	none	13	False
ENSG00000259275.2	0.0005796038940184354	False	False	none	10	False
ENSG00000259248.5	0.5275723349924708	False	True	silent	29	False
ENSG00000259456.3	0.0025045196615268712	True	False	gene_only	33	False
ENSG00000259520.5	0.13404676257820528	False	False	none	42	False
ENSG00000259495.2	0.3729586783357788	True	True	visible	29	False
ENSG00000259343.5	0.11564582704558185	True	True	visible	27	False
ENSG00000259673.5	0.04981659306797021	True	False	gene_only	67	False
ENSG00000259446.5	0.3949070453169788	False	True	silent	16	False
ENSG00000176753.5	0.014435074339498769	False	False	none	12	False
ENSG00000259577.1	0.00581467185257936	True	False	gene_only	28	False
ENSG00000259583.2	0.23159829449952118	True	True	visible	20	False
